title,invoice_number,issue_date,total,table
0b6fcb50-b157-4457-b3a3-06779f91b8b8.jpg,4631508,13 May 2013,1445.99,"2088G4S22A 1MSB4E5T 104
2088 Pressure Transmitter
Export HTS/HS:8026204000
Buyer acknowledges preference that Rosemount arrange shipping
Freightshipping charges prepaid and added to invoice. Buyer
agrees to pay such charges. Because Rosemount is billed by
WOOD PACKING MATERIAL
1,435.20 1,435.20
10.79
0.00
1,445.99"
2a8677b9-b29e-4c93-86e5-56d4c38cb7fc.jpg,POv002,19-Nov-20,"62,000.00","Jarus 16.6 inch Monitor, 19Nos, 620000, 67,000.00, Toa 70 Hes, 62,000.00, Anau Chao woe Eee"
2ec7883e-dafe-4cc3-9836-7314ace98c14.png,0,07072022,2380,"Ski: Woo-bearietoge
bel $500 118% $850.83
cap S500 1 oR $150 i780
subrocal si"
3e2ef304-3cb7-4452-87b8-102bea1c2908.jpg,353013,010317,"8,385.00","AEROCHAIR-E1 UofM: Each 500.00 2,500.00
Office Chair - Swivel Grey
Warehouse: MAIN"
4cfc9619-5dd4-4307-90b6-04d20ba6db3b.jpg,Final Invoice Final Invoice # oRt2348,09/20/2012,"34,436.50","Quantity Description Unit Price ExtPrice
1 Cartticate OWN, Cerificate #OW N-190 2,920.00 92,820.00
1 ASME Consultants) Expenses 1,954.00 $4,954.00
1 ASME Consultants) Services o,9e1.50 90,901.50"
4d972974-e804-4c67-af7c-071b16d1d35a.png,PD004918,10/26/2018,200.00,"CODE DESCRIPTION QTY UNIT RATE AMOUNT
TRLAND FREIGHT 7000 200.00 200.00"
6a620b62-167a-466e-961d-63cac09ba563.jpg,5000,15 OCTOBER 2018,2550 USD,"DESCRIPTION HOURS, RATE TOTAL
WEDDING PHOTOSHOOT IN WACO, TEKAS AT THE WOOD a $150HR 51,200 USD
PHOTO EDITING FOR UP TO 30 IMAGES. 4 S150HR $900 USO
DIGITIAL IMAGES UPLOADED TO DROPBOX FOR CLIENT 1 $150HR 5150 USD
commer SERVICES 4 $1S0He $600 USO"
6fab0ac5-e856-43af-a2ed-621d1a15818a.png,1,"July6, 2012","$2,407.00","QUANTITY DESCRIPTION UNIT PRICE AMOUNT
120 Widgets 10.00 $1,200.00
1,000 Tin Badges 1.00 1,000.00"
7b450c61-a83d-4843-8404-0828b0d62891.jpg,5559789,February 5,8173.20,"1. Populated Printed Circuit Board and Intel Processor - 1,060
2. Laser imaging Assembly for a Laser Printer incorporating a toner receptacle unit and a cleaning unit - HT!"
8e00367b-25b3-401b-bf8e-e1cfc801e4ae.png,GE/3847/20 2013,10 10 2020,"23,600.00","1 Herman Millet Executive 34929 12 Pes 100.00 0.00 120.00 %1,240.00
Chait
Duswription ofthe item to be added
hore
(12%)
2 ve248 QE 24 Monitor 34174 12Pes X100.00 0.00 120.00 %4,240.00
Description of the ilem to Le added (12%)
here
erect SLR-TOTAL 3,000.00
manangerybl CES tom 2300.00
EeWAYRILL NUMBER
SES TIO 2300.00
KSDHFKJSDHSKg424HK2H 34 (cancelled)
TERMS & CONDITIONS ADD"
9b650c90-ad5c-4f07-b04a-b58e33318398.jpg,GS00000001,10/01/2008,$467.50,"Product cost ty is Totat em deverlpton $500.00, 1 18% $425.00 1 1 1 > Hl I Subtotal $425.00 ost $42.50 Total Cos tinclusing GST $467.50"
9d396ae4-7abe-4aa5-8481-11df722e49c7.jpg,Maxt234,19-Nov-20,"93,000.00","Asus 16.6 inch Monitor 45Nos 620000 no% 93,000.00"
19d98817-caf1-4e5a-b8b2-22881ecef5d4.png,201740,20072017,4899.36,"No Name Qty Rate Disc Amount % Amt Cess
1 GSTRegistration- 1 4152 0 4152 9 37368 9 37368 0"
21dd0238-661b-4d4a-8d6f-8b7717d229fc.png,02190001 ,07/03/2018 ,70.00 ,"Date, Consultant, Service Provided, Time, Venue, Comments
07/01, Chanequa Walker-Barnes, Educational services, 60 minutes, Teleconference, Tutorial on white privilege
Quantity, Item Description, Vendor, Unit Price, Total
1, 1 hr massage, Gift of massage therapy to recover MAA, 70.00, 70.00"
69b77ea7-6f8a-4eba-9568-8c33136879c3.jpeg,0001,10/22/20,"$5,475.00","Eee Quantity 
Unit Price 
Cost
AXT-1 (18t installment, 10% of total 1 $5,475.00
Subtotal 35,475.00
Total $5,475.00"
70de9d18-4aff-40bc-b60a-db7dec2b5af7.jpg,2965 123456789,07082,29.65,"DATE EXPLANATION OF ACTITY cnances wsunance 
PATENT JOnNDOE
fos/1a/s2 DATE OF seRvice
07082 Balance Forward 74,65
Jo7ig/i2 PAYMENT CHECK 1213 35.00
Biled charges to date 7149.85
Receipts to date 2112.06
Adjustments to date asga.14
Insurance Pending 0.00
Account Balance 39.65"
72c641c1-d057-48ab-9d1f-2abb143c691d.png,BS 10009,16/2013,£120.00,"Product
Flying Ninja
Happy Ninja
Woo Ninja
Price Quantity Lina Total"
77ed1272-512c-4389-8a38-3798084cb073.png,Us001,411022019,154.06,"Front ang rear brake cables 100.00 100.00
New set of pedal arms 15.00 30.00
Labor ahes 5.00 15.00"
151d0d84-bfb4-4338-8839-90d69a1a3074.png,ba-12697,18 JUN 2017,50340.00,"Product Code Description of Goods Unit Price Amount
26 Lightbulb 297 watt 3000 400 4000.00
27 Electrical wire 20m 480 2400 2800.00
28 Cable wire 40m 482 482.00 9740.00"
281dec77-e364-494e-9a67-0d862b5a509e.png,"00121,","April 8, 2015,","0,","Brochure Design, Pamphlet Design, ‘Web Banner Design"
522a7c5f-166c-479f-8801-10d43d83a3b9.png,cToso000001 ,10 10 2020 ,"21,20,000.00 ","# ITEM NAME QTY PRICE_DISCOUNT_ GST = AMOUNT. 
UNIT UNIT 
1 Back end services BOhrs 72000.00 70.00 70.00 80,000.00 
2. AWS Maintenance and set up 40hrs 2200000 70.00 70.00 40,000.00 SUBTOTAL — 71,20.000.00 
gst 20.00 
TOTAL DUE — 21,20,000.00"
608cb44c-46b7-405e-acfa-1bb8ed4e9cf8.jpg,100 ,27/02/2014 ,635.90 ,"Product, Quantity, Unitprice 
Apple iPad with Retina display Wi-Fi 32GB White, 1, 499.00 
Recreational Flying Headset, 1, 129.96"
0869be20-07ec-40c9-be93-fe9d6b0ae5dd.jpeg,0,"2022 Aug 17, 2022","2,860.00","Item name 2 $450.00 $900.00
Item name 1 $300.00 $300.00
Item name 3 $500.00 $1,500.00"
4907a532-bf75-4bc4-a08c-06f9d3f00306.png,1,71912015,349.85,"In-fight Pilot Training
Prefight Briefing
Post Flight Briefing and Evaluation"
292518c6-bfd4-4096-92a1-7df63faf0860.png,0,0,321113.82,"DESCRIPTION quantity SALES PRICE DISCOUNT AMOUNT
pon tens 2 cath 2 a 400
Acoustic Foam Panel 432900
Speaker cable 10
Television M120 37"" Siver 1888000
Television HDTV ¥590 52"" White 9537000"
77502028-18e6-4a51-9b7d-0cc5f4a68726.jpg,B202001676,2020 03 07,18876,"S.No. Parts/OP code Part Labor Description HSNWSAC Tax% Qty Rate/Unit Oiec Amt Amount
Part Invoice 1405G202003284
1 S8101ADA50 PAD KITFRONT DISC BRAKE 27083000 14% 1 294922 294921
5 3192241001 FILTER CARTRIDGE 24219900 8% 891 160848
4 263202A501 SERVICE KITOIL FILTER 84212300 8% 136016 36015
3 2811340200 FILTERAIH CLEANER 84213100 8% 127118 0
2 NPNSYNTHIOCL © SYNTHETIC ENGINE O1L IOCL 34031900 8% 53 70338"
a7e533f9-fea3-453e-b135-6b6d9d3c63a6.jpg,48,18/12/2014,€121.00,"Product Quantity Tata
Simple product 1 €100.00
SKU Simpled1
Cart Subtotal €100.00
Shipping €10.00 via Flat Rate
Low 10% VAT €11.00"
aacc330f-a0ad-4248-bce9-9eab83818e2b.jpg,NBS/EWHE SAT,0,0,"Customer Confirmation i Installation Date after, Declaration, Installation Connectivity, Power cabling, Termination, Grounding, For service, Main Input, Details of any additional work"
b33b5ce3-4ff8-4c88-aa43-137875bcb754.jpg,JCWASATT1011011504,06/12/2010,"6,228.57","1) ADJUST DOOR LINKS FORE FREESFERVI
2) STDCHK STANDARD CHECKS(TEFLO Pap 
3) FREE! FIRST PREE SERVICE( GENR PREESERVI
4) STDCHE STANDARD CHECKS( SERVI PAID 
5) STDCHK STANDARD CHECKS( AC FU PAID"
b06572e1-a3c6-43a8-8e33-a2d8b5669da3.png,1227,10/9/2020,"$2,231.96","DATE EMPLOYEE DESCRIPTION
9/21/2020 Jason Acosta
9/21/2020 Steven Cohen
9/25/2020 Scott Jackson
10/9/2020 Doug Donovan
Pickup Redline Corrections
Pickup Redline Corrections
Pickup Redline Corrections
Client Meeting
10/9/2020 Alice Shapiro Elevations
DATE EMPLOYEE DESCRIPTION
9/20/2020 = Alice Shapiro Copies"
c4141ea0-72cc-46f8-826f-a5d80451f8e5.jpg,65,04204,"7,000.00",Repairs and Maintenance charges
cdfb3904-b918-4b56-ab73-20d3ffcccca5.jpg,SOtt306386,20,"4,763.45","WOVEN BACKPACK 100% NYLON 5202.92.3120 VIETNAM $481.10, WOVEN TRAVEL LUGGAGE 100% NYLON 5202.92.3131 VIETNAM $1,323.08, WOVEN BACKPACK 100% NYLON 5202.92.3120 VIETNAM : $61.96, WOVEN SHOULDER BAG 100% NYLON 5202.92 3120 VIETNAM 1   $33.53, WOVEN SUNG BAG 100% NYION 5202.92 3120 VIETNAM i  $144.33, WOVEN LARGE POUCH 100% NYLON 5202"
e2befb75-c0e9-4c7f-befd-3fc16e4b9acb.png,21,Dec 14 2016,£775.00,Description of Goods Tariff Code CountryofOrigin Quantity Unit£ Total E AL-D-6 Alison Tunic Size 6 62044220 United Kingd 1 £25.00 £25.00 100% Cotton ned Ninggom AL-D-8 Alison Tunic Size 8 62044220 United Kingd 2 £25.00 £50.00 100% Cotton ned Ninggom AL-D-10 Alison Tunic Size 10 62044220 United Kingd 2 £25.00 £50.00 100% Cotton ned Ninggom AL-D-12 Alison Tunic Size 12 62044220 United Kingd 2 £25.00 £50.00 100% Cotton ned Ninggom AL-D-14 Alison Tunic Size 14 62044220 United Kingdom 4 £25.00
